"",Jan_2019,Dec_2018,Nov_2018,Oct_2018,Sep_2018,Aug_2018,Jul_2018,Jun_2018,May_2018,Apr_2018,Mar_2018,Feb_2018
User,0,0,0,0,0,0,0,0,0,0,0,0
Answer,0,0,0,0,0,0,0,0,0,0,0,0
Post,0,0,0,0,0,0,0,0,0,0,0,0
Custom_Question,0,0,0,0,0,0,0,0,0,0,0,0
Channel,0,0,0,0,0,0,0,0,0,0,0,0
Comment,0,0,0,0,0,0,0,0,0,0,0,0
Reply,0,0,0,0,0,0,0,0,0,0,0,0
Like,0,0,0,0,0,0,0,0,0,0,0,0
Drawer,0,0,0,0,0,0,0,0,0,0,0,0
tags,0,0,0,0,0,0,0,0,0,0,0,0
Friendship,0,0,0,0,0,0,0,0,0,0,0,0
Assignment,0,0,0,0,0,0,0,0,0,0,0,0
Query,0,0,0,0,0,0,0,0,0,0,0,0
User_Query,0,0,0,0,0,0,0,0,0,0,0,0
