"",~Feb_17,~Feb_10,~Feb_03,~Jan_27,~Jan_20,~Jan_13,~Jan_06,~Dec_30,~Dec_23,~Dec_16,~Dec_09,~Dec_02
User,0,0,0,0,0,0,0,0,0,0,0,0
Answer,0,0,0,0,0,0,0,0,0,0,0,0
Post,0,0,0,0,0,0,0,0,0,0,0,0
Custom_Question,0,0,0,0,0,0,0,0,0,0,0,0
Channel,0,0,0,0,0,0,0,0,0,0,0,0
Comment,0,0,0,0,0,0,0,0,0,0,0,0
Reply,0,0,0,0,0,0,0,0,0,0,0,0
Like,0,0,0,0,0,0,0,0,0,0,0,0
Drawer,0,0,0,0,0,0,0,0,0,0,0,0
tags,0,0,0,0,0,0,0,0,0,0,0,0
Friendship,0,0,0,0,0,0,0,0,0,0,0,0
Assignment,0,0,0,0,0,0,0,0,0,0,0,0
Query,0,0,0,0,0,0,0,0,0,0,0,0
User_Query,0,0,0,0,0,0,0,0,0,0,0,0
